insertId,jsonPayload.disposition,jsonPayload.connection.src_ip,jsonPayload.connection.dest_ip,jsonPayload.connection.dest_port,jsonPayload.remote_location.region,jsonPayload.remote_location.city,jsonPayload.remote_location.country,jsonPayload.remote_location.continent,jsonPayload.instance.vm_name,receiveTimestamp
1,allow,230.123.168.196,26.74.78.2,80,Wherever,Broniszewice,Poland,Wherever,43b9d616-175d-4a7b-9f77-2c2a35f6a363,2019-08-17 22:37:08 UTC
2,deny,173.217.37.61,222.144.102.119,80,Wherever,Columbus,United States,Wherever,bd48b87d-f286-4093-9760-b5fe10823101,2019-08-17 22:37:08 UTC
3,deny,120.138.254.62,86.41.58.12,80,Wherever,Qianjin,China,Wherever,0f2e84fb-e35d-4382-8f22-f09f801b7168,2019-08-17 22:37:08 UTC
4,allow,161.190.134.173,141.91.70.235,80,Wherever,Caicedonia,Colombia,Wherever,df89765a-a3f7-41b2-a97e-89a3ffa4b68a,2019-08-17 22:37:08 UTC
5,deny,186.149.201.155,234.3.215.246,80,Wherever,Magnitka,Russia,Wherever,ca8e8459-2660-4fac-b1c4-107d51fa5150,2019-08-17 22:37:08 UTC
6,deny,209.42.166.254,236.171.53.79,80,Wherever,Yazykovo,Russia,Wherever,c98dadcb-cb47-4b32-a539-b52e5052a118,2019-08-17 22:37:08 UTC
7,allow,13.2.175.154,25.199.34.204,80,Wherever,Hats’avan,Armenia,Wherever,be61c657-c19b-489e-900d-86ecc610389f,2019-08-17 22:37:08 UTC
8,deny,12.240.58.78,106.54.230.92,80,Wherever,Kaburon,Indonesia,Wherever,67cf6f28-56a2-4898-af39-753c0ce0a205,2019-08-17 22:37:08 UTC
9,allow,10.103.253.28,112.20.252.92,80,Wherever,Ban Houakhoua,Laos,Wherever,fb57ebe8-7e13-4fcd-b5c4-425533bee006,2019-08-17 22:37:08 UTC
10,deny,145.69.252.133,48.158.103.131,80,Wherever,Al Fayyūm,Egypt,Wherever,6943e3c6-4ee1-47b4-86d6-95f64b735eb9,2019-08-17 22:37:08 UTC
11,deny,19.138.58.222,212.57.179.19,80,Wherever,Xiashitai,China,Wherever,d513bc57-f342-4551-88e3-4acdffe82090,2019-08-17 22:37:08 UTC
12,allow,154.12.250.44,174.43.98.202,80,Wherever,Toupopu,Indonesia,Wherever,929e42bd-b4a1-4c3b-86e5-f2605f015313,2019-08-17 22:37:08 UTC
13,deny,91.27.243.43,119.142.207.254,80,Wherever,Trzciana,Poland,Wherever,4288e6c2-d8ab-4b9c-93bb-2a2c2aedae9e,2019-08-17 22:37:08 UTC
14,deny,89.81.71.205,232.194.212.180,80,Wherever,Mosul,Iraq,Wherever,5624aef1-3dcc-457e-a3b7-9368e5d3d059,2019-08-17 22:37:08 UTC
15,deny,11.227.83.27,214.101.9.246,80,Wherever,Linstead,Jamaica,Wherever,80777c38-3a2a-4bf7-b1c5-7f8d03149d98,2019-08-17 22:37:08 UTC
16,allow,122.226.189.180,69.191.140.140,80,Wherever,Portel,Portugal,Wherever,5e9616ad-c31f-4b4a-a304-46a028481114,2019-08-17 22:37:08 UTC
17,deny,108.3.131.150,187.53.34.172,80,Wherever,Strawczyn,Poland,Wherever,f2c5354a-c0a4-40a4-b6c9-87e84e8b37d5,2019-08-17 22:37:08 UTC
18,deny,5.77.51.209,84.9.33.41,80,Wherever,Cuba,Portugal,Wherever,cc22a2fc-f5ab-4e8c-bfc2-71dd4b84809e,2019-08-17 22:37:08 UTC
19,deny,125.79.201.120,209.85.68.23,80,Wherever,Bonao,Dominican Republic,Wherever,f65ab7f0-2dcd-4d14-80ee-0c74a1fdd88c,2019-08-17 22:37:08 UTC
20,deny,124.201.14.196,208.61.84.232,80,Wherever,Hino,Japan,Wherever,0de4d2d8-ac96-4e47-a88f-7267d50ed229,2019-08-17 22:37:08 UTC
21,deny,157.96.46.187,130.163.152.68,80,Wherever,Zheleznogorsk-Ilimskiy,Russia,Wherever,e96eb077-d066-4ae7-b64f-c109cf956feb,2019-08-17 22:37:08 UTC
22,deny,93.128.173.104,27.203.192.40,80,Wherever,Viesīte,Latvia,Wherever,6811086b-fd05-4da8-ad9e-b60d4593fc06,2019-08-17 22:37:08 UTC
23,deny,229.109.233.92,253.213.0.217,80,Wherever,Cruzeiro,Brazil,Wherever,c3bef634-062f-4580-a146-8630486f6888,2019-08-17 22:37:08 UTC
24,allow,96.189.153.216,27.164.214.194,80,Wherever,Placencia,Belize,Wherever,d2197306-861c-48d3-8262-77221ce1c843,2019-08-17 22:37:08 UTC
25,allow,190.43.0.227,244.247.189.94,80,Wherever,Severnoye,Russia,Wherever,2cf6616c-514c-4a9b-b8df-27f3d4b50bab,2019-08-17 22:37:08 UTC
26,deny,236.103.35.236,38.6.94.29,80,Wherever,Zengguang,China,Wherever,ddbfb641-e2c3-4a68-a9bc-da39ca0ac35a,2019-08-17 22:37:08 UTC
27,allow,86.149.134.180,161.136.193.139,80,Wherever,Veldhoven,Netherlands,Wherever,df1dcaa5-cd50-451a-aaa0-d9e119486dba,2019-08-17 22:37:08 UTC
28,allow,123.238.130.83,250.53.136.44,80,Wherever,Cijambe,Indonesia,Wherever,cf88c342-ab3a-4633-bd73-10aa4faaea44,2019-08-17 22:37:08 UTC
29,deny,244.72.83.110,165.167.12.75,80,Wherever,Igreja,Portugal,Wherever,488e0d98-8eda-46d0-84cc-a49c59c5d49c,2019-08-17 22:37:08 UTC
30,deny,120.138.79.216,51.159.207.101,80,Wherever,Montalegre,Portugal,Wherever,aa3ca785-ef7e-4b5a-99e8-5c8fddc74a85,2019-08-17 22:37:08 UTC
31,deny,251.62.14.240,240.26.50.180,80,Wherever,Tonga,Cameroon,Wherever,489e6d38-0aea-4e69-99e2-b3d64c7d525e,2019-08-17 22:37:08 UTC
